"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"MBC16A",32,33.5,2.58511814447532,34.1395487182325,2.63555009993994,1.53149596809178,0.540567413307916,2.176597892631,4.58880698940897
"MBC17A",45,45,0,45,2.28035085019828,3.0133107822167,0.926413602273698,13.5894680389087,6.84511054973282
"MBC18A",33,33,0.246182981958665,33.2649681065963,2.69210527661357,2.32631573943813,0.843621426988551,6.39473797939561,4.75669403322537
"MBC19A",42,42,0,42,2.65921578128376,2.79024048826967,0.905649019207356,10.5987239517702,6.31086570741535
"MBC20A",30,30,0.491596040125088,30.253014320744,2.36809864689696,1.88615770745055,0.736052039279764,3.78862559601255,4.25611230196616
"MBC21A",41,41,0,41,3.08418467701777,2.23937558680538,0.787996537122474,4.71690408461724,6.13451575179457
"MBC22A",58,58,0.165223638062817,58.2455763270786,3.77145397353618,2.75109989196462,0.893416394335512,9.38230597253274,9.24444780685839
"MBC23A",32,32.3333333333333,0.922992681104533,32.7126701872551,2.77840114898413,1.66959982418316,0.670871196041052,3.03832416966074,4.58880698940897
"MBC24A",43,43,0,43,3.20609883931264,1.90611827910305,0.709580349705242,3.44329317587519,6.48808898480005
"MBC25A",55,55.25,0.735663792817989,55.744378757079,3.49449453596535,2.65977336888506,0.873698500710197,7.91756238542716,8.67915913902584
"MBC25T",67,69.625,2.82689524628652,70.3930695156695,4.06323411058301,2.3538169030796,0.826020023682131,5.74778788435375,10.9792815247528
"MBC26A",44,44,0,44,3.02639900031224,2.27972616114664,0.804954324458542,5.12700421182854,6.66617423201909
"MBC27A",38,38,0.246688595516483,38.2203591111111,3.0117179939759,2.03476316608222,0.794199997196591,4.85908642554905,5.61082677630956
"MBC28A",23,23,0,23,2.34056849281648,1.781039392318,0.755148677458456,4.08411108267684,3.12628904929024
"MBC29A",31,31.5,1.29214660822325,32.0213308404861,2.57434329365622,1.87311658338365,0.750496937609466,4.00796683783686,4.4219400262087
